Creator,Title,Video File URLs,Item Page URL
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
Peter Kirby,"The Secret of Life and Death: Allen Ruppersberg, Directed by Peter Kirby (1986)",http://ubuvideo.memoryoftheworld.org/Ruppersberg_MPEG4_640x480.mp4,http://www.ubu.com/film/ruppersberg_secret.html
Peter Kirby,A Video Portrait (1989),http://ubuvideo.memoryoftheworld.org/Chris-Burden_Newport-Harbor-Museum_1988.mp4,http://www.ubu.com/film/burden_newport.html
Peter Kirby,John Baldessari: Some Stories (1990),http://ubuvideo.memoryoftheworld.org/Kirby-Peter_John-Baldessari-Some-Stories_1990.iphone.m4v,http://www.ubu.com/film/baldessari_stories.html
Peter Kirby,"Life In America (1991), Directed by Peter Kirby",http://ubuvideo.memoryoftheworld.org/Smith-Alexis_America.iphone.m4v,http://www.ubu.com/film/smith-a_america.html
